Publication Type,Title,Authors,Creation Date
Cost Recovery (CR) report,Lapa Nordb 7030-1161,"Germain, Louis",2014-07-17
Cost Recovery (CR) report,Laronde2 W 00MA175,"Germain, Louis",2014-07-17
Cost Recovery (CR) report,Test Report of IPKON Silicate Capsules,"Voyzelle, Benoit",2014-07-02
Cost Recovery (CR) report,Proficiency Testing Program from Mineral Analysis Laboratories — April 2014 Cycle (Final Report),"Desroches, Diane",2014-05-01
Cost Recovery (CR) report,Rare Earth Element Method Development and Capacity Building within ASG,"Pawlak, Marcin",2014-04-11
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviours of Wekaba Cable Bolts,"Voyzelle, Benoit",2014-03-28
Cost Recovery (CR) report,Test Report of Various Domed Plates,"Voyzelle, Benoit",2014-03-28
Cost Recovery (CR) report,"Method Development and Validation for the Determination of Several Rare Earth Elements, Iron and Niobium in Various REE Bearing Minerals","Wang, Ruiping",2014-03-24
Cost Recovery (CR) report,Beaufor B.N.13303 (14-008-CR),"Germain, Louis",2014-03-21
Cost Recovery (CR) report,CasaBerardi Nordberg 14122 (13-021-CR),"Germain, Louis",2014-03-21
Cost Recovery (CR) report,Cemented Radioactive Waste - Long Term Performance Quarterly Report - Q1 (13-045-CR),"Bouzoubaa, Nabil",2014-03-21
Cost Recovery (CR) report,Evaluation of Green Genius Fuel Saver Technology to improve the Efficiency of Diesel Internal Combustion Engines with the Resultant Reduction of Fuel Burn and Exhaust Emissions - Data Summary and Analysis (14-010-CR),"Young, David A.",2014-03-21
Cost Recovery (CR) report,Goldex T1692 (14-006-CR),"Germain, Louis",2014-03-21
Cost Recovery (CR) report,Investigation into the fate and effects of selenium on the life-cycle of a benthic invertebrate (Chironomus dilutus). (13-048-CR),"Rickwood, Carrie",2014-03-21
Cost Recovery (CR) report,Laborator - scale validation of liquid waste cemented solution (13-052-CR),"Kassimi, Fodhil",2014-03-21
Cost Recovery (CR) report,Laboratory Testing of Dynamic Behaviour of Aveng Yielding Cable Bolts (13-051-CR),"Voyzelle, Benoit",2014-03-21
Cost Recovery (CR) report,Laboratory Testing of Kiruna Bolts for Malmfälten AB (13-055-CR),"Voyzelle, Benoit",2014-03-21
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviours of Atlas Copco MN24 Swellex Bolts (13-057-CR),"Voyzelle, Benoit",2014-03-21
Cost Recovery (CR) report,Proficiency Testing Program for Mineral Analysis Laboratories - September 2013 Cycle (FINAL REPORT) (13-059-CR),"Desroches, Diane",2014-03-21
Cost Recovery (CR) report,"Report on Phase One of the Project, Rare Earth Elements Containing Certified Reference Material (13-038-CR)","Leaver, Maureen",2014-03-21
Cost Recovery (CR) report,"Source of Dissolved Arsenic in Groundwater at a Steam-assisted Gravity Drainage Site in the Oil Sands Area, Alberta","Thibault, Yves",2014-03-21
Cost Recovery (CR) report,Summary of Laboratory Strength Tests and Pilot-scale Flowability Tests Specific to Vale's Coleman Mine,"Tarr, Kristie",2014-03-21
Cost Recovery (CR) report,Temperature Modeling - Liquid Waste Project (13-001-CR),"Kassimi, Fodhil",2014-03-21
Cost Recovery (CR) report,Test Report of Swellex Spartan Rock Bolts (13-056-CR),"Voyzelle, Benoit",2014-03-21
Cost Recovery (CR) report,Testing of the Modular Thermal Transfer Unit (MTTU) in Vale's Stobie Mine (13-037-CR),"Li, Gary",2014-03-21
Cost Recovery (CR) report,Transformation/Dissolution Studies on Four Nickel Mattes at pH 6 and 8 (13-033-CR),"Huntsman-Mapila, Philippa",2014-03-21
Cost Recovery (CR) report,Évaluation de performance du déshydrateur à benne basculante (13-053-CR),"Lacroix, Roger",2014-03-20
Cost Recovery (CR) report,"inspection de ""Langlois CIR 1149"" (13-058-CR)","Germain, Louis",2014-03-19
Cost Recovery (CR) report,"Lac Bachelor, BN série 13845 (13-061-CR)","Germain, Louis",2014-03-19
Cost Recovery (CR) report,Laronde 2 Markham série T65009 (13-060-CR),"Germain, Louis",2014-03-19
Cost Recovery (CR) report,Mouska CIR 1852 (13-054-CR),"Germain, Louis",2014-03-19
Cost Recovery (CR) report,Development of Cementing Formulations for Loop Decontamination Waste Tanks,"Bilodeau, Alain",2014-03-18
Cost Recovery (CR) report,Production-Scale Validation of Liquid Waste Cementation Formulations,"Bilodeau, Alain",2014-03-18
Cost Recovery (CR) report,Éléonore DavyMarkham série B15024 (13-049-CR),"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Éléonore DavyMarkham série B95023 (13-050-CR),"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Bousquet N7030-1098 (14-002-CR),"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Géant Dormant Vulcan 1485 (13-044-CR),"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Langlois B.N. 13082 (14-007-CR),"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Leaching of a black shale from Alberta-Final Report (13-046-CR),"Cameron, Rory",2014-03-14
Cost Recovery (CR) report,Niobe FH&B série 35301,"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Promec Coeur d'Alène 7192120 (13-042-CR),"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Service inspection des treuils (14-003-CR),"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Westwood DavyMarkham B85013 - production (13-041-cr),"Germain, Louis",2014-03-14
Cost Recovery (CR) report,Energy Efficient Rock Fragmentation - GAP Analysis (13-040(CR)),"Bilodeau, Magella",2013-10-30
Cost Recovery (CR) report,Goldex ASEA 390 (13-034(CR)),"Germain, Louis",2013-10-30
Cost Recovery (CR) report,Preliminary Study on the Best practices for Placement of Cemented Hydraulic Fill with Rockfill at Vale Canada Sudbury Base Metal Operations (13-036(CR)),"Tarr, Kristie",2013-10-30
Cost Recovery (CR) report,Westwood DavyMarkham B85014 (13-039(CR)),"Germain, Louis",2013-10-30
Cost Recovery (CR) report,Westwood Norberg 7030-1081 (13-035(CR)),"Germain, Louis",2013-10-30
Cost Recovery (CR) report,Development of Concrete and Grout for the Macro-Encapsulation of Cemented Radioactive Waste (13-027(CR)),"Bilodeau, Alain",2013-10-28
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviour of Minova Bolts (13-029(CR)),"Voyzelle, Benoit",2013-10-28
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviour of Minova Cable Bolts (13-032(CR)),"Voyzelle, Benoit",2013-10-28
Cost Recovery (CR) report,Micro-Encupsulation of Cemented Radioactive Waste (13-026(CR)),"Bilodeau, Alain",2013-10-28
Cost Recovery (CR) report,Mine Seleine ASEA391 (13-024(CR)),"Germain, Louis",2013-10-28
Cost Recovery (CR) report,Mine Seleine BN 31451 (13--023(CR)),"Germain, Louis",2013-10-28
Cost Recovery (CR) report,Preliminary processing flowsheet development for a carboaceous rare earth bearing ore (13-028(CR)),"Negeri, Tesfaye",2013-10-28
Cost Recovery (CR) report,Solidification of the residue from a process for the extraction or recovery of cerium...from cemented radioactive waste (13-025(CR)),"Bilodeau, Alain",2013-10-28
Cost Recovery (CR) report,Stabilisation of Cemented Radioactive Waste (Task B)Comminution Process-Summary report (13-030(CR)),"Bilodeau, Magella",2013-10-28
Cost Recovery (CR) report,Stabilisation of Cemented Radioactive Waste (Task B-4) Pilot Scale Comminution Test (13-031(CR)),"Bilodeau, Magella",2013-10-28
Cost Recovery (CR) report,Mineralogical Characterization of Hydrometallurgical Residue Subjected to Column Leaching Experiments (13-018(CR)),"Paktunc, Dogan",2013-09-26
Cost Recovery (CR) report,Niobec H20299 (13-019(CR)),"Germain, Louis",2013-09-26
Cost Recovery (CR) report,PTP-MAL Biannual report (13-016(CR)),"Desroches, Diane",2013-09-26
Cost Recovery (CR) report,Quality Assurance Liquid Waste (13-017(CR)),"Bouzoubaa, Nabil",2013-09-26
Cost Recovery (CR) report,Characterization of Radioactive Surrogate Cemented Waste (13-012(CR)),"Fiset, Jean-Francois",2013-09-25
Cost Recovery (CR) report,Elder CIR 1560 (13-015(CR)),"Germain, Louis",2013-09-25
Cost Recovery (CR) report,Eleonore B95021 (13-009(CR)),"Germain, Louis",2013-09-25
Cost Recovery (CR) report,Eleonore B95022 (13-010(CR)),"Germain, Louis",2013-09-25
Cost Recovery (CR) report,Goldex West (13-008(CR)),"Germain, Louis",2013-09-25
Cost Recovery (CR) report,Kiena-BN31269 (13-006(CR)),"Germain, Louis",2013-09-25
Cost Recovery (CR) report,Leaching of a Black Shale from Alberta (13-011(CR)),"Cameron, Rory",2013-09-25
Cost Recovery (CR) report,Mouska LS 122-40 (13-014(CR)),"Germain, Louis",2013-09-25
Cost Recovery (CR) report,T/D Studies of Cobalt Hydroxide (13-007(CR)),"Beaudoin, Robert",2013-09-25
Cost Recovery (CR) report,Task C- Determination of the Chemical Characteristics of Surrogate Cemented Waste (13-013(CR)),"Lastra, Rolando",2013-09-25
Cost Recovery (CR) report,Assessment of the impact of the YYYYY fuel additive on diesel engine emissions (13-004(CR)),"Young, David A.",2013-09-24
Cost Recovery (CR) report,Improving Pail Production Process (13-005(CR)),"Cameron, Rory",2013-09-24
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviours of YYYY Bolts (13-002(CR)),"Voyzelle, Benoit",2013-09-24
Cost Recovery (CR) report,Laboratory testing ... (13-001(CR)),"Voyzelle, Benoit",2013-09-13
Journal,Machine Learning Analysis of the Canadian Royalties Crushing and Grinding Circuits,"Tony Di Feo, Nasseh Khodaie, benjamin Lewis and Matthieu Girard",2021-02-17
Journal,"Trace elements in sulfides and release to porewater from sulfide oxidation in a historical waste-rock pile, Ontario, Canada","Lianna J.D. Smith, Dogan Paktunc, David W. Blowes",2021-02-11
Journal,A Cross Scale Investigation of Galena Oxidation and Controls on Mobilization of Lead in Mine Waste Rock,"Z. Bao. T. Al, M. Couillard, G. Poirier, J. Bain, H.K Shrimpton, Y.Z Finfrock, A.Lanzirotti",2021-02-09
Journal,Cr(VI) formation in ferrochrome-smelter dusts,Eleanor Berryman and Dogan Paktunc,2021-02-03
Journal,"Stirred-tank bioleaching of nickel and cobalt from pyrrhotite-rich tailings from Sudbury, Ontario","Rory Cameron, Yves Thibault, Rolando Lastra, Lucie Morin, Doug Gould",2021-01-08
Journal,Multivariate Analysis of Variance (MANOVA) of Laboratory Assay Methods for Rare Earth Elements,Tony Di Feo and Eliza Ngai,2020-12-23
Journal,Effect of Strong Collectors and Frothers on Coarse Particle Flotation using the HydroFloatTM for a North American Concentrator,"Tony Di Feo, Meghan De Souza, Rolando Lastra and Andrew Hobert",2020-12-07
Journal,The Effects of Water Recycling at a North American Concentrator – Part 2,"T. Di Feo, C.M. Hill-Svehla, B.R. Hart, K. Volchek, L. Morin and A. Demers",2020-12-01
Journal,Development and characterization of low-pH cements for structural purposes in geological repository systems,"Olfa Oueslati (external), Nabil Bouzoubaâ, Alain Bilodeau",2020-10-09
Journal,Evaluating the Validity of Continuous-Failure-State Unloading Triaxial Tests as a Means to Estimate the Residual Strength of Rock,"Gabriel Walton (CSM), Steven Gaines (CMIN), Leandro R. Alejano (University of Vigo, Spain)",2020-10-09
Journal,Performance of Identical Rockbolts Tested on Four Testing Rigs Employing the Direct Impact Method,"Charlie C. Li, John Hadjigeorgiou, Peter Mikula et al.",2020-10-02
Journal,"Tailings Dust Characterization and Impacts on Surface Water Chemistry at Stirling Mine, Nova Scotia","Amy Cleaver, Philippa Huntsman, Carrie Rickwood, Heather E. Jamieson",2020-09-23
Journal,"Blended municipal compost and biosolid materials for mine reclamation: long-term field studies to explore metal mobility, soil fertility and microbial communities","Sean Langley, Ted MacKinnon",2020-09-02
Journal,How tire stock management and fitment strategy impact truck availability,"Michelle Levesque, Emma Tomini and John Le.",2020-08-19
Journal,Application of biochar prepared from ethanol refinery by-products for Hg stabilization in floodplain soil: Impacts of drying and rewetting,"Alana O. Wang, Carol J. Ptacek, Dogan Paktunc, E. Erin Mack, David W. Blowes",2020-08-15
Journal,Quantifying historical releases and pre-operation levels of metals and radionuclides downstream of decommissioned uranium mine sites.,Richard Goulet,2020-07-17
Journal,Geochemical response of contaminated lake sediments to climate change,Stephanie DeSisto ; Carrie Rickwood; Philippa Huntsman,2020-03-12
Journal,Flotation-calcination-magnetic separation hybrid process for concentration of,Tesfaye Negeri  ,2020-03-04
Journal,The Mode of Incorporation of As(-I) and Se(-I) in Natural Pyrite Revisited,Dogan Paktunc,2020-02-03
Journal,Minimizing the impact of passivation during allanite-(Ce) decomposition in sulfuric acid media for rare earth recovery,"Yves Thibault, Joanne Gamage McEvoy",2020-01-17
Journal,Bioleaching of uranium tailings as secondary sources for rare earth elements production,"R. Gagné-Turcotte, N. Reynier, L. Coudert, C. Laviolette, R. Cameron, J.F. Blais",2019-12-17
Journal,"Early-life-stage toxicity of four rare earth elements to brown trout (Salmo trutta), coho salmon (Oncorhynchus kisutch) and fathead minnow (Pimephales promelas)","Josh Baker, Carrie Rickwood, Curtis Eickhoff, Karen Lee, James Elphick",2019-11-29
Journal,Assessing the fate and effect of metals in snow associated with atmospheric deposition in the oil sands region of Canada,"Carrie Rickwood, Yves Thibault, Sean Langley, Naveen Puttaswamy, Philippa Huntsman",2019-11-19
Journal,Recent Progress in Impurity Removal During REE Processing,W.D. Judge and G. Azimi,2019-10-21
Journal,The Effects of Water Recycling on Flotation at a North American Concentrator – Part 1,"A. Di Feo, K Volchek,S. Mortazavi, S. Langley, Lucie Morin, G. Prabhakar and A. Demers  and I Bedard",2019-10-02
Journal,Towards sustainable development of the Ring of Fire chromite resources,Dogan Paktunc,2019-09-23
Journal,"Use of hardwood and sulfurized-hardwood biochars as amendments to floodplain soil from South River, VA, USA: Impacts of drying-rewetting on HG removal",Dogan Paktunc,2019-09-09
Journal,Breaking Down Energy Consumption in Industrial Grinding Mills ,"J. Bouchard, G. LeBlanc, M. Levesque, P. Radziszewski, D.G. Filteau",2019-07-18
Journal,Iron and sulphur management options during Ni recovery from (bio)leaching of pyrrhotite tailings Part 2: strategies for sulfur fixation during biomass-induced magnetization of  goethite and jarosite.,"Joanne Gamage McEvoy, Yves Thibault, Suzanne Beauchemin ",2019-07-09
Journal,Partitioning of Cu and Ni during magnetization of oxidized pyrrhotite tailings,"S. Beauchemin, Y. Thibault, J. Gamage McEvoy and T. MacKinnon",2019-06-28
Journal,GEOCHEMICAL PROPERTIES OF 40-YEAR OLD REFORESTED PYRRHOTITE TAILINGS AND IMPACT OF ORGANIC ACIDS ON METAL CYCLING ,"Suzanne Beauchemin*, Sean Langley and Ted MacKinnon ",2019-06-18
Journal,A mineralogical investigation into the pre-concentration of the Nechalacho deposit by gravity separation,"Pengbo Chu, Chris Marion, Tassos Grammatikopoulos,Kristian Waters, et.al. ",2019-06-17
Journal,A review of bubble break-up,"Pengbo Chu, James Finch, et. al. ",2019-06-17
Journal,Iron and sulphur management options during Ni recovery from bioleaching of pyrrhotite tailings,"Yves Thibault, Joanne Gamage McEvoy, Suzanne Beauchemin",2019-04-14
Journal,Alternative Cleaning and Regeneration Methods for Ceramic Membranes Exposed to Oil Sands Produced Water ,"Charbel Atallah/ André Tremblay, Saviz Mortazavi, Yves Thibault, Joanne Gamage McEvoy, Dominique Du",2019-03-19
Journal,In-Process Steam Cleaning of Ceramic Membranes Used in the Treatment of Oil Sands Produced Water,"Charbel Atallah/ André Tremblay, Saviz Mortazavi, Yves Thibault, Joanne Gamage McEvoy, Dominique Du",2019-03-12
Journal,Thermal stability of hydrophilic PEO-silane modified ceramic membranes,Charbel Atallah ,2019-03-04
Journal,Effects of Collectors and Frothers on Copper and Molybdenum Coarse Particle Recoveries – A Statistical Approach,T. Di Feo,2019-03-01
Journal,"Iron and sulphur management options during Ni recovery from (bio)leaching of pyrrhotite tailings, Part 1:  mechanisms of  low-temperature transformation from goethite and jarosite to magnetic spinel.","Yves Thibault, Joanne Gamage McEvoy, Suzanne Beauchemin",2019-03-01
Journal,Chemical Forms of Mercury in Pyrite: Implications for Predicting Mercury Releases in Acid Mine Drainage Settings,Dogan Paktunc,2019-02-27
Journal,Kinetics and mechanisms of the carbothermic reduction of chromite in the presence of nickel,Dogan Paktunc,2019-02-27
Journal,Effect of Collectors and Frothers onCopper and Molybdenum Coarse Particle Recoveries - A Statistical Approach ,"Tony Di Feo, Rolando Lastra",2019-02-06
Journal,3D FREE FALL ROCK SIZE SENSOR,Magella Bilodeau,2019-01-21
Journal,Comparison of Environmental Impacts of Deep-Sea Tailings Placement versus On-land Disposal,Y.T. John Kwong,2019-01-16
Journal,Method Development for Determining the Removal of Metals from the Water Column under Transformation/Dissolution Conditions for Chronic Hazard Classification ,"Philippa Huntsman, Rob Beaudoin",2019-01-14
Journal,Weight‐of‐Evidence Approach for Assessing Removal of Metals from the Water Column for Chronic Environmental Hazard Classification,Philippa Huntsman ,2018-11-05
Journal,Surface modified multi-lumen tubular membranes for SAGD produced water treatment,"Charbel Atallah, Saviz Mortazavi",2018-10-10
Journal,Impact of crystal chemistry properties on the collector-mineral interactions observed for REE orthophosphates and oxides ,"Joanne Gamage McEvoy, Yves Thibault",2018-07-09
Journal,Selective removal of uranium from rare earth leachate using functionalized magnetic solid-phase extraction,Laurence Whitty Leveillé,2018-06-25
Journal,Controlled dissolution experiments in the rare earth orthophosphate system: investigating fractionation pathways during caustic alkali cracking,"Yves Thibault, Joanne Gamage McEvoy",2018-05-10
Journal,"Geochemical stability of acid-generating pyrrhotite tailings, 4 to 5 years after addition of oxygen-consuming organic covers","Suzanne Beauchemin, Sean Langley, Joyce Clemente, Yves Thibault",2018-03-28
Journal,A comparative evaluation of the influences of alkali fluxes on direct reduction of chromite for ferrochrome production,"Dogan Paktunc, Yves Thibault, Samira Sokhanvaran, Dawei Yu",2018-02-21
Journal,Carbothermic Reduction of Chromite Fluxed with Spent Potlining ,Dawei Yu ,2018-01-03
Journal,Direct Production of Ferrochrome by Segregation Reduction of Chromite in the Presence of CAc12: II.  Reduction by Charcoal and Petroleum Coke and the Segregation Reduction Mechanism,"Dawei Yu, Dogan Paktunc",2017-11-01
Journal,Direct Production of Ferrochrome by Segregation Reduction of Chromite in the Presence of CaC12_I. Reduction by Graphite,"Dawei Yu, Dogan Paktunc",2017-11-01
Journal,Behaviour of the rare earths during goethite (α-FeOOH) precipitation from sulphate-based solutions ,"J.E. Dutrizac, C. Soriano",2017-10-26
Journal,Rapid and Selective Leachin of Actinides and Rare Earth Elements from Rare Earth-Bearing Minerals and Ores,"Laurence Whitty Léveillé, Nicolas Reynier, Dominic Lariviere",2017-10-24
Journal,Atmospheric deposition of metal-bound dusts at mine sites – understanding the contribution of snowmelt as a source of metals into lakes in the Val d’Or mining region  ,Carrie Rickwood ,2017-10-18
Journal,Selenate versus Selenite – uptake into algae and trophic-transfer to Daphnia magna. ,Carrie Rickwood ,2017-10-18
Journal,Assessing the long-term ecosystem productivity benefits and potential impacts of forests re-established on a mine tailings site ,"Suzanne Beauchemin, Sean Langley, Bryan Tisch",2017-09-27
Journal,Rapid and Selective Leaching of Actinides and Rare Earth Elements from Rare Earth-Bearing Minerals ,"Laurence Whitty Léveillé, Nicolas Reynier, Dominic Lariviere",2017-09-25
Journal,Transformations/Dissolution Characterization of Tungsten and Tungsten Compoiunds for Aquatic Hazard Classification.,"Philippa Huntsman-Mapila, J. Skeaff, M. Pawlak, R. Beaudoin",2017-08-28
Journal,Kinetics and Mechanisms of the Carbothermic Reduction of Chromite in the Presence of Nickel,"Dawei Yu, Dogan Paktunc",2017-07-10
Journal,Aqueous solubility of Cr(VI) compounds in ferrochrome bag filter dust and the implications thereof,Dogan Paktunc,2017-04-26
Journal,Potential Consequences of Climate Change on  the Geochemistry and Biology at Canadian Metal Mines South of 60o Latitude ,Joyce Clemente,2017-03-16
Journal,Silane Surface Modified Ceramic Membranes for the Treatment and Recycling of SAGD Produced Water ,Saviz Mortazavi,2017-01-30
Journal,Thermal stability of hydrophilic PEO-silane modified ceramic membranes,Saviz Mortazavi,2017-01-30
Journal,Characterization of fouling processes in ceramic membranes used for the recovery and recycle of oil sands produced water ,Yves Thibault,2017-01-06
Journal,Water Recycle in Gold Nickel and Copper Minerals Flotation,Maziar Sauber,2017-01-06
Journal,Removal of Metals from the Water Column under Transformation/Dissolution Conditions for Chronic Hazard Classification. ,Philippa Huntsman-Mapila,2016-12-01
Journal,The behaviour of the rare earth elements during the precipitation of ferrihydrite from sulphate media,J.E. Dutrizac,2016-10-04
Journal,A recent advance in ultrasonic monitoring of rockbolt condition monitoring ,Renée Royer,2016-07-05
Journal,A Holistic Approach of Green Mining Innovation in Tailings Reprocessing and Repurposing,Terry Cheng,2016-06-01
Journal,Impact of 6 years of organic cover on metal mobility in acidic tailings,Suzanne Beauchemin,2016-04-12
Journal,Characterization of leakage and air flow resistance in mine auxiliary ventilation ducts and their effect on running cost,Michelle Levesque,2016-03-02
Journal,"Initial Biochar Properties Related to the Removal of As, Se, Pb, Cd, Cu, Ni and Zn from an Acidic Suspension ","Joyce Clemente, Suzanne Beauchemin",2016-02-11
Journal, Temperature Modeling of Cemented Radioactive Liquid Waste ,Fodhil Kassimi,2016-02-04
Journal,Flotation-Magnetic Separation Hybride Process for Concentration of Rare Earth Minerals Contained in a Carbonate Ore ,Tesfaye Negeri,2016-02-04
Journal,Low-pH Cementitious Matrices to Stabilize Cemented Radioactive Wastes ,Fodhil Kassimi,2016-02-04
Journal,Solidification of a Residue from a Process of Extraction/Recovery of Hazardous Elements from a Previous Cemented Radioactive Waste ,Fodhil Kassimi,2016-02-04
Journal,"CHARACTERIZATION, COMMINUTION, LEACHING AND ENCAPSULATION METHODS OF SURROGATE CEMENTED RADIOACTIVE WASTES ",Jean François Fiset,2016-02-02
Journal,"Natural Shear Stresses in Rock Masses: Example of the Campbell-Red Lake gold deposit, Superior Province, Ontario, Canada ",Denis Labrie,2016-02-02
Journal,An estimation of the variability in automated quantitative mineralogy measurements through inter laboratory testing,Rolando Lastra,2015-08-21
Journal,COMPARISON OF URANIUM RECOVERY BY ION EXCHANGE FROM SULFURIC ACID LIQUOR IN IODIDE AND CHLORIDE MEDIA,Nicolas Reynier,2015-07-14
Journal,"URANIUM, CESIUM, AND MERCURY LEACHING AND RECOVERY FROM CEMENTED RADIOACTIVE WASTES IN SULFURIC AND IODIDE MEDIA",Nicolas Reynier,2015-07-14
Journal,"Optimization and validation of a chemical process for uranium, mercury and cesium leaching from cemented radioactive wastes.",Nicholas Reynier,2015-06-10
Journal,Addressing the International Maritime Organisation Hazard Classification Requirements for Metals and Metal Compounds,Philippa Huntsman-Mapila,2015-05-06
Journal,Bulk and micsro-scale inorganic composition of biochars and wood ash,Joyce Clemente,2015-04-30
Journal,Adapting the Freshwater Transformation/Dissolution Protocol for Metals and Metal Compounds to Marine Systems: A Response to International Maritime Organization Hazard Classification,"Huntsman-Mapila, Philippa",2015-04-07
Journal,Redox stability of aged biogenic iron oxide (BIOS),Sean Langley,2015-04-01
Journal,Managing Long-term Orphaned Mine Liabilities:  Exploring the Relinquishment of Closed Sites,"Tremblay, Gilles",2015-03-23
Journal,Presentation,"Tisch, Bryan",2015-03-06
Journal,Phase Transformations in the Fe-As04-SO4 System and Structure of Amorphouse Ferric Arsenate: Implications for Arsenic Stabilization in Mine Drainage and Industrial Effluents,"Paktunc, Dogan",2015-03-02
Journal,Development of Waterborne Selenium Screening Guidelines for Freshwater Systems,"Rickwood, Carrie",2015-01-16
Journal,"Biochars as metal ""sorbents"" for mine waste management","Beauchemin, Suzanne",2015-01-15
Journal,Investigation into the Fate and Effects of Selenium on the Benthic Invertebrate (Chironomus dilutus),"Rickwood, Carrie",2014-11-28
Journal,Revisiting the wavelength-dispersive M emission spectra of the lanthanides for the electron probe X-ray microanalysis of minor to trace concentrations at optimal spatial resolution,"Thibault, Yves",2014-08-29
Journal,"Synthesis, characterization and thermodynamics of arsenates forming in the Ca-Fe(III)-As(V)-NO3 system: Implications on the stability of Ca-Fe arsenates","Paktunc, Dogan",2014-07-31
Journal,"Root length of aquatic plant, Lemna minor L., as an optimal endpoint for biomonitoring of mining effluents","Vigneault, Bernard",2014-07-22
Journal,Noise and vibration: Workers Exposure in Quebec Underground Mines,"Leblanc, Gilles",2014-06-02
Journal,Metal Leaching in Mine Tailings: Short-term Impact of Biochar and Wood Ash Amendments,"Beauchemin, Suzanne",2014-04-17
Journal,"Transformation/Dissolution Examination of Tungsten and Tungsten Compounds, with Speciation of the T/D Solutions",J.M. Skeaff,2014-02-13
Journal,"""Zinc in House Dust: Speciation, Bioaccessibility and Impact of Humidity """,S. Beauchemin,2013-12-18
Journal,Assessing the fate and toxicity of Thallium I and Thallium III to Three Aquatic Organisms,C.J. Rickwood,2013-10-24
Journal,Noise and Vibration:  Mine Workers Exposure in Quebec Underground Mines,M. Laflamme,2013-10-08
Journal,Transformation/Dissolution Examination of a Nickel Matte and Concentrates for Acute and Chronic Hazard Classification,J.M. Skeaff,2013-10-02
Journal,T/D Nickel Concentrates ... (CR),"Skeaff, Jim",2013-09-13
Journal,Arsenic Speciation and the Controls on its Release in Contaminated Sediments and Corresponding Toxicological Effects,Tyler Nash,2013-06-10
Journal,Adaptation of the freshwater transformation/dissolution protocol to marine systems,P. Huntsman-Mapila,2013-05-17
Journal,Mineralogical Characterizationn of Sieved and Unsieved Samples,R. Lastra and W. Petruk,2013-05-01
Other Publication,CIM President's Note: Back to the Future: One to Grow On,Janice Zinck,2021-09-01
Other Publication,Cr(VI) in ferrochrome smelter dusts from pilot-scale DC arc furnace,"Eleanor. J. Berryman, Dogan Paktunc, and David Kingston",2020-04-30
Other Publication,Treatment and Recycling of Mining Wastewaters Using a Hybrid Electrocoagulation-Ceramic Membrane Filtration Process,"Charbel Atallah, S. Mosadeghsedghi, M. Hudder,  M. Mostajeran, K. Volchek, S. Mortazavi",2020-02-17
Other Publication,Turning Waste to Value: Selective Recovery of Rare Earth Elements from Coal Fly Ash with Ion Exchange Technologies,"Mehdi Mostajeran, Jean-Michel Bondy and Rory Cameron",2020-01-06
Other Publication,REPROCESSING OF HISTORIC GOLD MINE TAILINGS IN NOVA SCOTIA USING CHLORIDE HYDROMETALLURGY,"Terry Cheng, Michael Parsons",2020-01-03
Other Publication,Evaluating the transport and fate of metal bearing tailings dust,"Philippa Huntsman, Carrie Rickwood",2019-12-02
Other Publication,Laboratory Investigation and Comparison of Direct Shear Testing Procedures using Induced Discontinuities in Sandstone,Steven Gaines,2019-11-13
Other Publication,Reducing Tire Related Downtime - How tire stock management and fitment strategy impact truck availability,Emmalie Tomini,2019-10-28
Other Publication,CIM President's Note: A Privilege and a Pleasure,Janice Zinck,2019-05-01
Other Publication,The value of volunteering and networking,Janice Zinck,2019-04-17
Other Publication,Leveraging our Technical Expertise,Janice Zinck,2019-04-03
Other Publication,Ventilation benefits for using electric equipment in underground mines – VOD system evaluation ,Gary Li,2019-04-03
Other Publication,NRCan Driving Innovation,Janice Zinck,2019-04-02
Other Publication,CIM President's Note: There must be a better way,Janice Zinck,2019-03-01
Other Publication,"Campbell, P and W. Price 2018 How to Assess Potential Biological Effects of Subaqueous Disposal of Mine Tailings - Literature Review and REcommended Tools and Methodologies, MEND Report 2.19.1",Bill Price,2019-02-22
Other Publication,CIM President's Note: Is there an upside to risk?,Janice Zinck,2019-02-01
Other Publication,CIM President's Note: Building the Next Generation of Miners: A Call to Action,Janice Zinck,2018-12-01
Other Publication,CIM President's Note: You are only as strong as your weakest link,Janice Zinck,2018-11-01
Other Publication,Changing perceptions through greener mining,Janice Zinck,2018-10-23
Other Publication,CIM President's Note: A Plan for Our Future,Janice Zinck,2018-08-01
Other Publication,Résultat de l’utilisation d’un câble synthétique pour le hissage minier à la mine Goldex - Addendum,Martin Cote,2018-07-19
Other Publication,CIM President's Note: Back to the Future: Learning from Past Greats in Our Industry,Janice Zinck,2018-06-01
